Player,Total Count,W,L,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
Avrgtour Mamaevski,120,64,56,"0,5333",60,60,4,5,13,3,4,407,447,165,8,19,14543,1755,835,13855
Median player: rOtk,123,62,61,"0,504065040650406",68,55,3,"5,69","13,01","3,23","2,81",414,469,184,8,20,11577,855,1355,13791
