Player,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
Chu,49,20,29,"40,82%",29,20,"2,96","6,35","13,16","2,62","2,54",289,358,69,1,18,9979,172,788,10506
Bokerino,42,17,25,"40,48%",22,20,"4,64","5,48","12,86","3,25","3,2",383,452,171,8,19,18393,1213,1829,13714
y`Maxine,109,44,65,"40,37%",40,69,"2,86","5,75","11,98","2,8","2,58",274,327,55,2,16,7841,293,2214,9707
Faith_bian,109,44,65,"40,37%",40,69,"3,66","5,26","11,5","3,73","2,88",384,447,170,8,19,13274,1126,618,12839
Judy,35,14,21,"40,00%",18,17,"2,54","5,31","10,06","2,85","2,37",345,364,97,6,15,9660,341,509,9179
nine,43,17,26,"39,53%",15,28,"7,95","4,56","9,91","4,09","3,92",506,553,260,9,22,22772,2793,504,17123
Sooths,38,15,23,"39,47%",21,17,"7,84","5,21","7,76","3,33","2,99",578,599,324,20,22,25116,3242,304,20783
Yp,79,31,48,"39,24%",28,51,"3,48",5,"11,06","3,54","2,91",279,329,49,3,15,9217,288,248,9205
Tzy?NJ,74,29,45,"39,19%",30,44,"4,11","5,92","10,88","3,02","2,53",372,433,140,4,19,13335,386,452,12170
Nando,77,30,47,"38,96%",29,48,"5,4","4,55","8,09","3,52","2,97",527,509,284,17,21,19202,3915,895,19199
Fade,103,40,63,"38,83%",44,59,"2,79","6,2","13,13","2,62","2,56",257,339,43,1,16,8991,163,504,8151
Ayo,103,40,63,"38,83%",44,59,"2,84","5,27","11,45","3,16","2,71",266,321,53,2,16,7719,419,762,9058
Joshua #5593,44,17,27,"38,64%",22,22,"2,43","5,39","10,89","2,78","2,47",282,304,61,1,16,7355,198,1268,9480
Trixi,52,20,32,"38,46%",27,25,"4,31","6,12","11,9","3,48","2,65",383,419,165,4,20,16626,1001,662,13665
Eyyou,39,15,24,"38,46%",18,21,"2,51","6,87","11,95","2,66","2,1",285,372,69,2,18,8275,83,702,9384
Shirley,86,33,53,"38,37%",32,54,"2,92","5,49","11,91","3,24","2,7",274,316,56,1,16,8097,329,1213,9779
Velo,94,36,58,"38,30%",54,40,"5,01","6,55","11,39","2,56","2,5",410,461,180,4,20,18043,989,854,14214
ISI,40,15,25,"37,50%",21,19,"4,78","4,22","7,28","3,6","2,85",469,489,206,16,19,12865,3490,3798,14191
Skiter.Oyasumi,54,20,34,"37,04%",22,32,"7,11","4,72","9,93","4,51","3,61",485,545,239,16,21,17695,3158,1610,17029
dnz,54,20,34,"37,04%",22,32,"3,33","7,52","14,17","2,31","2,33",269,348,56,4,17,10053,178,533,8982
Swiftending,85,31,54,"36,47%",49,36,"6,93","4,04","8,26","4,95","3,76",488,504,261,13,20,16783,4198,2961,17167
Buugi,61,22,39,"36,07%",24,37,"3,79","6,3","11,93","2,64","2,5",366,415,152,4,19,13024,1408,373,11996
DXM,61,22,39,"36,07%",25,36,"6,05","3,18","8,11","4,61","4,45",505,505,231,14,20,17797,1593,160,16538
yfs[N]7,70,25,45,"35,71%",25,45,"6,41","4,86","8,73","3,23","3,12",510,502,259,16,20,18622,2056,455,17296
Bignum,65,23,42,"35,38%",39,26,"3,23","5,46","10,74","3,1","2,56",276,341,64,4,16,9436,724,1519,8773
XaKoH,37,13,24,"35,14%",9,28,"3,3","5,08","11,97","4,14","3,01",360,375,145,5,18,13616,697,1728,11723
Newsham,57,20,37,"35,09%",28,29,"2,67","5,63","11,82","2,75","2,57",252,336,49,2,16,8888,216,809,8068
7676,40,14,26,"35,00%",27,13,"3,48","5,58","10,03","3,15","2,42",359,389,120,7,17,11313,1075,598,11121
Srf,83,29,54,"34,94%",31,52,"2,96","4,71","10,76","3,24","2,91",352,401,137,6,18,11040,583,666,12167
Qooman,46,16,30,"34,78%",31,15,"6,15","4,39","7,04","3,9",3,557,606,311,16,22,19349,2329,119,18438
Net,49,17,32,"34,69%",22,27,"3,41","6,04","12,94","3,22","2,71",256,323,52,2,17,9161,193,1715,8878
Mitch--,61,21,40,"34,43%",41,20,"3,43","4,97","11,97","3,31","3,1",358,396,137,6,18,13176,379,830,11174
ALWAYSWANNAFLY,64,22,42,"34,38%",39,25,"2,05","7,02","10,66","2,07","1,81",245,275,41,3,14,8660,256,1029,7939
Xepher,35,12,23,"34,29%",16,19,4,"6,03","10,26","2,28","2,36",354,385,91,4,16,10636,729,775,10014
KoaLamon,35,12,23,"34,29%",16,19,"3,86","5,17","9,66","2,97","2,61",381,415,134,4,17,12499,1026,709,12019
Yabyooo,35,12,23,"34,29%",16,19,"5,94","4,2","9,2","4,13","3,61",513,486,207,9,19,19588,2728,696,16765
chshrct,53,18,35,"33,96%",36,17,"3,7","5,04","9,6","3,05","2,64",401,475,187,5,20,13625,905,202,13385
yoky-,62,21,41,"33,87%",38,24,"5,97","3,94","9,16","4,4","3,84",510,507,259,9,21,18489,2762,401,17961
syndereN,83,28,55,"33,73%",31,52,"2,34","7,13","11,89","2,66","1,99",260,331,57,4,17,9443,235,337,8625
Jeyo,60,20,40,"33,33%",33,27,"5,27","5,55","11,62","4,58","3,04",398,421,193,7,19,16201,2203,1351,14240
g0g1,48,16,32,"33,33%",30,18,"3,04","5,75","11,5","2,8","2,53",273,314,57,4,16,8119,253,1116,8750
Big_A,36,12,24,"33,33%",24,12,"6,5","4,42","8,22","3,59","3,33",457,514,222,8,20,20586,1747,421,15630
@LeBronDota,65,21,44,"32,31%",38,27,"2,51","6,94","12,02","2,36","2,09",254,317,45,3,16,8494,146,850,8122
iNSaNiA,59,19,40,"32,20%",38,21,"3,12","6,75","13,83","2,53","2,51",281,348,78,2,17,10413,181,586,10409
twitch.tv/daxak,53,17,36,"32,08%",33,20,"5,02","4,17","8,04","4,08","3,13",489,510,248,18,20,16135,2419,1518,14984
f1nn the human,41,13,28,"31,71%",21,20,"3,93","6,17","12,29","2,78","2,63",344,394,101,6,17,13188,527,36,10400
Pikachu,57,18,39,"31,58%",31,26,"6,95","4,93","9,05","3,36","3,25",517,562,268,13,21,22001,3998,192,17300
H4nn1,38,12,26,"31,58%",22,16,"4,08","4,76","11,16","3,54","3,2",302,345,78,2,18,11422,326,408,10568
miCKe,54,17,37,"31,48%",36,18,"7,07","6,3","10,72","2,95","2,83",476,545,263,13,21,23488,1996,303,16295
BSJ,75,23,52,"30,67%",40,35,"4,79",4,"8,77","4,33","3,39",499,492,267,10,20,17453,2693,251,17374
Mystery.,62,19,43,"30,65%",36,26,"2,61","6,35","11,35","2,4","2,2",244,302,48,3,15,9110,393,905,7836
MoPao,62,19,43,"30,65%",36,26,"6,77","4,89","7,31","3,97","2,88",534,563,279,22,21,18632,3097,452,17809
Nofear,49,15,34,"30,61%",25,24,"2,06","5,9","11,96","2,26","2,38",250,283,42,3,15,7817,251,1028,8449
LongGGG_,46,14,32,"30,43%",26,20,"3,26","5,98","10,74","2,93","2,34",326,381,111,4,17,10162,275,511,10014
ixmike88,43,13,30,"30,23%",27,16,"2,14","5,09","8,28","1,98","2,05",371,402,150,3,18,10577,438,1577,11436
Jenkins,37,11,26,"29,73%",17,20,"3,43","5,84","9,97","2,86","2,3",344,402,152,4,17,13530,1115,675,11033
Jixian,64,19,45,"29,69%",37,27,"5,25","3,73","7,53","3,89","3,42",459,489,228,11,20,14107,2592,279,14937
Era,58,17,41,"29,31%",40,18,"7,02","4,26","9,14","4,48","3,79",519,510,291,13,21,20665,3841,575,19777
Stormwind,38,11,27,"28,95%",19,19,"6,89","4,34","8,47","3,64","3,54",520,551,280,13,20,18003,2152,646,18003
ACE,45,13,32,"28,89%",20,25,"2,11","5,8","10,07","2,38","2,1",228,273,28,3,14,6935,100,1169,7492
Eagle,35,10,25,"28,57%",23,12,"3,4","6,37","9,29","1,87","1,99",284,299,53,1,15,10125,785,797,9411
xfreedom,37,10,27,"27,03%",20,17,"2,32","5,24","9,49","2,61","2,25",283,340,86,3,16,8395,191,677,9516
UnderShock,39,9,30,"23,08%",23,16,"5,9","5,92","7,59","2,95","2,28",489,520,233,13,20,18436,2506,171,14830
Piao,40,9,31,"22,50%",14,26,"5,12","5,03","6,95","2,9","2,4",474,488,230,12,19,16535,3265,738,15075
