Player,Total Count,Wins,Losses,Winrate,As Radiant,As Dire,Kills,Deaths,Assists,KDA,Avg. KAL,GPM,XPM,Last Hits,Denies,LVL,HD,TD,HH,GS
HeStEJoE-RoTTeN,102,55,47,"53,92%",33,69,"4,43","5,34","13,4","4,15","3,34",385,413,142,6,19,14980,931,1449,12069
Ningchen ,102,55,47,"53,92%",53,49,"3,74","6,73","15,22","3,37","2,82",306,367,49,4,17,10645,202,472,9750
monkeys-forever,101,54,47,"53,47%",46,55,"4,07","5,39","10,77","3,15","2,76",422,447,162,7,18,12725,1975,1297,12975
mason,204,109,95,"53,43%",114,90,"6,43","3,18","9,03","5,59","4,86",539,553,286,10,21,18686,3901,1059,18850
Accel,176,94,82,"53,41%",83,93,"2,4","5,36","12,41","3,17","2,77",288,342,61,3,16,7936,452,640,9562
FLeee,118,63,55,"53,39%",43,75,"2,75","4,7","13,65","3,71","3,49",297,373,64,3,17,9659,124,205,9197
STAN KING,118,63,55,"53,39%",43,75,"2,59","5,58","11,42","2,78","2,51",253,310,42,2,15,7110,415,2278,7722
hym,165,88,77,"53,33%",98,67,"3,19","5,36","13,45","3,58","3,1",289,338,59,1,16,8513,303,653,9380
BuLba,205,109,96,"53,17%",114,91,"3,02","4,35","13,02","4,07","3,69",308,362,79,3,17,9995,362,384,10109
Exotic_Deer,130,69,61,"53,08%",82,48,"7,52","3,48","9,58","5,8","4,92",550,574,289,13,22,19034,4446,1003,19422
Kacor,130,69,61,"53,08%",82,48,"3,08","7,69","13,98","2,39","2,22",272,340,46,3,17,9581,345,273,8235
lisek,130,69,61,"53,08%",82,48,"3,09","6,52","14,38",3,"2,68",263,338,40,2,17,10095,393,375,8538
Nisha,130,69,61,"53,08%",82,48,"8,53","4,67","10,65","5,11","4,11",563,610,302,16,22,25707,3871,466,19510
June,164,87,77,"53,05%",71,93,"3,96","5,07","12,57","4,02","3,26",414,458,185,7,19,14943,1484,1183,14519
June,164,87,77,"53,05%",71,93,"3,26","5,41","13,57","3,64","3,11",297,353,56,3,17,9973,401,1054,9799
tavo,136,72,64,"52,94%",67,69,"4,18","4,99","12,47","3,5","3,34",409,451,172,6,20,14855,1214,707,13676
